Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Distance (km),Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Federal Funding Types
ELEC,PRUDENTIALPLAZA STATION 02,310 N Stetson Ave,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.887424,-87.622235,7/17/2024,193520,0.57055,2024-07-17 01:17:58 UTC,,,,8/6/2021,,,,,J1772,US,0.91821,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,HRC WEST 1 HYATT HOTEL 2,310 N Stetson Ave,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.887463,-87.62218,7/17/2024,217314,0.5742,2024-07-17 00:40:16 UTC,,,,5/11/2022,,,,,J1772,US,0.92409,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,HRC WEST 1 HYATT HOTEL 1,310 N Stetson Ave,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.887424,-87.622006,7/17/2024,217315,0.58147,2024-07-17 00:40:16 UTC,,,,5/11/2022,,,,,J1772,US,0.93579,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,MILLENNIUM GRGS MPG PILOT #3,5 S Columbus Dr,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.882412,-87.621237,7/17/2024,185392,0.59206,2024-07-17 01:30:50 UTC,,,,2/26/2021,,,,,J1772,US,0.95283,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,MILLENNIUM GRGS MPG PILOT #2,5 S Columbus Dr,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.88261,-87.620989,7/17/2024,185394,0.60184,2024-07-17 01:30:53 UTC,,,,2/26/2021,,,,,J1772,US,0.96857,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,MILLENNIUM GRGS MPG PILOT #1,5 S Columbus Dr,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.882554,-87.620935,7/17/2024,185393,0.60531,2024-07-17 01:30:52 UTC,,,,2/26/2021,,,,,J1772,US,0.97415,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Millennium Parking Garage - Tesla Destination,5 S Columbus Dr,,Chicago,IL,60601,,312-616-0600  877-798-3752,E,,Public,,,,,,,11,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.881747,-87.620555,10/6/2022,114161,0.63735,2023-01-18 15:15:20 UTC,P,,,1/2/2019,,,,,J1772 TESLA,US,1.02572,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,300 E. Randolph Unit #3,300 E. Randolph,,Chicago,IL,60601,,800-663-5633,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.8846651,-87.6199166,7/17/2024,260948,0.64703,2024-07-17 00:09:48 UTC,,,,12/29/2022,,,,,J1772,US,1.04129,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,300 E. Randolph Unit #4,300 E. Randolph,,Chicago,IL,60601,,800-663-5633,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.8846651,-87.6199166,7/17/2024,260951,0.64703,2024-07-17 00:09:48 UTC,,,,12/28/2022,,,,,J1772,US,1.04129,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,300 E. Randolph Unit #2,300 E. Randolph,,Chicago,IL,60601,,800-663-5633,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.8846651,-87.6199166,7/17/2024,260954,0.64703,2024-07-17 00:09:48 UTC,,,,12/29/2022,,,,,J1772,US,1.04129,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,300 E. Randolph - Unit #1,300 E. Randolph,,Chicago,IL,60601,,800-663-5633,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.8846651,-87.6199166,7/17/2024,260952,0.64703,2024-07-17 00:09:48 UTC,,,,12/29/2022,,,,,J1772,US,1.04129,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,The Aqua at Lakeshore East - Tesla Supercharger,225 North Columbus Drive,,Chicago,IL,60601,,877-798-3752,E,,Public,24 hours daily,,,,,,,10,,Tesla,https://www.tesla.com/supercharger,200-9,41.88651,-87.61972,7/1/2023,102157,0.6748,2023-07-14 19:41:28 UTC,P,,,4/1/2018,,,,,TESLA,US,1.08599,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,400 E RANDOLPH STATION 1,400 East Randolph Street,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.885003,-87.616419,7/17/2024,330818,0.82841,2024-07-17 02:25:05 UTC,,,,3/20/2024,,,,,J1772,US,1.3332,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Parking Garage - 70 West Madison - Tesla Destination,11 N Clark St,,Chicago,IL,60602,,  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.882312,-87.630943,10/6/2022,169013,0.1547,2023-01-18 15:15:20 UTC,P,,,6/14/2018,,,,,J1772 TESLA,US,0.24897,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Grant Park North - Tesla Destination,25 N Michigan Ave,,Chicago,IL,60602,,312-616-0600  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.882267,-87.624325,10/6/2022,114156,0.44083,2023-01-18 15:15:20 UTC,P,,,2/11/2016,,,,,J1772 TESLA,US,0.70945,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,30 W. Monroe St. Garage,35 S. Dearborn St.,,Chicago,IL,60603,,855-223-5351,E,,Public,24 hours daily,A D M V,,,,,2,,,FLASH,https://www.flashparking.com/products/diversify-parking-revenue/ev-charging-as-a-revenue-stream/,GPS,41.881301561852155,-87.6292491,7/17/2024,262338,0.26204,2024-07-17 03:19:53 UTC,,,,6/7/2023,,,,,J1772,US,0.42171,,,,Public,,public,,,PUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,INTERPARK ADAMWABASH 2,17 E Adams St,,Chicago,IL,60603,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.879251,-87.626887,7/17/2024,202792,0.44873,2024-07-17 01:42:39 UTC,,,,12/18/2021,,,,,J1772,US,0.72216,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,INTERPARK ADAMWABASH 1,17 E Adams St,,Chicago,IL,60603,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.879243,-87.626855,7/17/2024,202791,0.45021,2024-07-17 01:42:39 UTC,,,,12/18/2021,,,,,J1772,US,0.72454,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Millennium Lakeside Garage - Tesla Destination,5 S Columbus Dr,,Chicago,IL,60603,,312-616-0600  877-798-3752,E,,Public,,,,,,,11,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.882094,-87.620496,10/6/2022,114160,0.63423,2023-01-18 15:15:20 UTC,P,,,1/2/2019,,,,,J1772 TESLA,US,1.02069,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,175 W JACKSON 175 W JACKSON,175 Jackson Blvd,,Chicago,IL,60604,,888-758-4389,E,,Public,Mon 5:00am - 5:00pm; Tue 5:00am - 5:00pm; Wed 5:00am - 5:00pm; Thu 5:00am - 5:00pm; Fri 5:00am - 5:00pm,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.877872,-87.6332,7/17/2024,253419,0.44188,2024-07-17 02:01:46 UTC,,,,2/7/2023,,,,,J1772,US,0.71114,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Grant Park South - Tesla Destination,325 S Michigan Ave,,Chicago,IL,60604,,312-616-0600  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.877475,-87.624245,10/6/2022,114157,0.63065,2023-01-18 15:15:20 UTC,P,,,2/11/2016,,,,,J1772 TESLA,US,1.01493,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,
